77,86
57,61
65,67
86,87
17,20
40,41
76,100
34,35
67,102
29,89
51,74
8,90
12,40
71,84
17,51
6,72
3,45
84,85
26,51
5,18
25,26
28,29
1,28
41,95
43,81
55,87
4,16
27,106
14,15
33,36
2,47
7,75
43,70
50,55
72,73
22,25
30,58
54,87
50,79
79,85
16,60
24,49
18,19
22,85
54,99
7,21
22,23
17,108
53,96
69,70
5,103
22,79
46,49
9,55
50,80
8,28
16,57
57,60
47,49
65,66
61,81
38,58
74,107
5,48
72,74
52,74
38,87
10,58
78,86
20,110
36,86
6,73
76,78
34,75
58,60
23,34
73,74
62,81
44,68
66,67
31,34
2,24
83,84
14,40
4,11
48,65
38,39
28,88
23,75
55,86
37,77
24,25
32,36
39,60
59,60
31,33
50,87
42,43
31,75
36,37
1,77
57,83
19,48
42,44
46,47
28,78
13,63
44,67
6,105
4,60
43,68
46,66
19,20
0,50
71,83
8,29
0,22
81,83
21,26
56,80
11,92
82,83
13,81
65,104
39,50
15,41
51,52
13,43
18,109
14,16
20,24
53,54
48,66
61,64
33,37
39,80
11,91
2,25
47,69
79,80
7,52
80,82
3,25
10,11
56,60
22,35
24,26
30,93
2,45
12,16
1,29
63,64
70,71
77,78
56,57
40,94
13,62
7,72
32,34
14,61
69,84
9,32
21,23
30,53
54,86
53,98
16,40
45,69
10,30
62,63
11,59
27,101
58,59
82,85
3,85
11,12
76,86
42,66
48,49
53,97
9,35
15,64
30,54
27,74
15,40
71,81
43,47
0,35
33,75
45,85
